"Id","Value","AssessmentMatrixRow","AssessmentResultId","DateOfCreation"
141,1,1,37,2025-02-19
142,1,2,37,2025-02-19
143,1,3,37,2025-02-19
144,1,4,37,2025-02-19
145,1,5,37,2025-02-19
146,1,1,19,2025-02-19
147,1,2,19,2025-02-19
148,1,3,19,2025-02-19
149,1,4,19,2025-02-19
150,1,5,19,2025-02-19
151,3,1,16,2025-02-25
152,3,2,16,2025-02-25
153,2,3,16,2025-02-25
154,4,4,16,2025-02-25
155,1,5,16,2025-02-25
96,5,1,21,2024-10-17
97,8,2,21,2024-10-17
98,12,3,21,2024-10-17
99,12,4,21,2024-10-17
100,12,5,21,2024-10-17
101,12,1,26,2024-10-17
102,11,2,26,2024-10-17
103,12,3,26,2024-10-17
104,10,4,26,2024-10-17
105,10,5,26,2024-10-17
106,12,1,34,2024-10-17
107,12,2,34,2024-10-17
108,9,3,34,2024-10-17
109,10,4,34,2024-10-17
110,10,5,34,2024-10-17
111,10,1,40,2024-10-17
112,11,2,40,2024-10-17
113,11,3,40,2024-10-17
114,12,4,40,2024-10-17
115,10,5,40,2024-10-17
116,10,1,38,2024-10-17
117,12,2,38,2024-10-17
118,12,3,38,2024-10-17
119,13,4,38,2024-10-17
120,12,5,38,2024-10-17
121,9,1,39,2024-10-17
122,8,2,39,2024-10-17
125,10,5,39,2024-10-17
126,11,1,41,2024-10-17
127,11,2,41,2024-10-17
128,11,3,41,2024-10-17
129,12,4,41,2024-10-17
130,10,5,41,2024-10-17
123,1,3,39,2024-10-17
124,1,4,39,2024-10-17
136,10,1,42,2024-10-17
137,11,2,42,2024-10-17
138,12,3,42,2024-10-17
139,12,4,42,2024-10-17
140,12,5,42,2024-10-17
