"EmployeeId","AttributeId","Value","DateOfCreation"
10,2,Уровень 3,2024-07-17
10,3,"300",2024-07-17
2,1,Начальник управления,2024-07-17
2,2,Немассовая,2024-07-17
2,3,"500",2024-07-17
1,1,Финансовая служба,2024-07-17
1,2,Немассовая,2024-07-17
1,3,"600",2024-07-17
9,1,Главный специалист,2024-07-17
9,2,Уровень 5,2024-07-17
9,3,"500",2024-07-17
4,1,Главный специалист,2024-07-17
4,2,Уровень 5,2024-07-17
4,3,"500",2024-07-17
7,1,Ведущий специалист,2024-07-17
7,2,Уровень 3,2024-07-17
7,3,"300",2024-07-17
5,1,Ведущий специалист,2024-07-17
5,2,Уровень 3,2024-07-17
5,3,"300",2024-07-17
6,1,Ведущий специалист,2024-07-17
6,2,Уровень 3,2024-07-17
6,3,"300",2024-07-17
8,1,Ведущий специалист,2024-07-17
8,2,Уровень 3,2024-07-17
8,3,"300",2024-07-17
10,1,Ведущий специалист,2024-07-17
