"Id","EmployeeId","GradeId","DateOfCreation"
10,4,11,2024-07-17
11,5,12,2024-07-17
12,6,13,2024-07-17
13,7,14,2024-07-17
14,8,15,2024-07-17
15,9,16,2024-07-17
16,10,17,2024-07-17
17,7,14,2024-10-17
18,4,11,2024-10-17
19,5,12,2024-10-17
20,6,13,2024-10-17
21,9,16,2024-10-17
22,8,15,2024-10-17
23,10,17,2024-10-17
24,7,18,2024-10-17
25,4,19,2024-10-17
26,5,20,2024-10-17
27,6,21,2024-10-17
28,9,22,2024-10-17
29,8,23,2024-10-17
30,10,24,2024-10-17
31,7,25,2024-10-17
32,4,26,2024-10-17
33,5,27,2024-10-17
34,6,28,2024-10-17
35,9,29,2024-10-17
36,8,30,2024-10-17
37,10,31,2024-10-17
39,9,36,2024-10-17
40,4,33,2025-02-19
