"Id","FactValue","Result","Period","MarkTypeId","EmployeeId","DateOfCreation"
106,20,true,октябрь,2,4,2024-10-17
105,14,true,октябрь,1,4,2024-10-17
35,23,true,июль,6,10,2024-07-17
36,24,true,июль,7,10,2024-07-17
37,25,true,июль,8,10,2024-07-17
38,26,true,июль,9,10,2024-07-17
39,14,true,август,6,10,2024-08-17
40,15,true,август,7,10,2024-08-17
41,17,true,август,8,10,2024-08-17
42,24,true,август,9,10,2024-08-17
43,15,true,август,1,4,2024-08-17
44,25,true,август,2,4,2024-08-17
45,13,false,август,3,4,2024-08-17
46,24,true,август,4,4,2024-08-17
47,15,true,август,5,4,2024-08-17
48,52,true,август,1,5,2024-08-17
49,25,true,август,2,5,2024-08-17
50,25,true,август,3,5,2024-08-17
51,19,false,август,4,5,2024-08-17
52,20,true,август,5,5,2024-08-17
53,5,true,август,1,6,2024-08-17
54,22,true,август,2,6,2024-08-17
55,55,true,август,3,6,2024-08-17
56,24,true,август,4,6,2024-08-17
57,4,false,август,5,6,2024-08-17
58,33,true,август,6,7,2024-08-17
59,12,true,август,7,7,2024-08-17
60,1,false,август,8,7,2024-08-17
61,3,true,август,9,7,2024-08-17
62,15,true,август,6,8,2024-08-17
63,42,false,август,7,8,2024-08-17
64,17,false,август,8,8,2024-08-17
65,54,true,август,9,8,2024-08-17
66,19,true,август,6,9,2024-08-17
67,33,true,август,7,9,2024-08-17
68,4,true,август,8,9,2024-08-17
69,22,false,август,9,9,2024-08-17
8,11,true,июль,1,4,2024-07-17
9,12,true,июль,2,4,2024-07-17
10,13,false,июль,3,4,2024-07-17
11,14,true,июль,4,4,2024-07-17
12,15,true,июль,5,4,2024-07-17
13,16,true,июль,1,5,2024-07-17
14,17,true,июль,2,5,2024-07-17
15,18,true,июль,3,5,2024-07-17
16,19,false,июль,4,5,2024-07-17
17,20,true,июль,5,5,2024-07-17
18,21,true,июль,1,6,2024-07-17
19,22,true,июль,2,6,2024-07-17
20,23,true,июль,3,6,2024-07-17
21,24,true,июль,4,6,2024-07-17
22,25,false,июль,5,6,2024-07-17
23,11,true,июль,6,7,2024-07-17
24,12,true,июль,7,7,2024-07-17
25,13,false,июль,8,7,2024-07-17
26,14,true,июль,9,7,2024-07-17
27,15,true,июль,6,8,2024-07-17
28,16,false,июль,7,8,2024-07-17
29,17,false,июль,8,8,2024-07-17
30,18,true,июль,9,8,2024-07-17
31,19,true,июль,6,9,2024-07-17
32,20,true,июль,7,9,2024-07-17
33,21,true,июль,8,9,2024-07-17
34,22,false,июль,9,9,2024-07-17
70,14,true,сентябрь,6,10,2024-09-17
71,15,true,сентябрь,7,10,2024-09-17
72,17,true,сентябрь,8,10,2024-09-17
73,24,true,сентябрь,9,10,2024-09-17
74,15,true,сентябрь,1,4,2024-09-17
75,25,true,сентябрь,2,4,2024-09-17
76,13,false,сентябрь,3,4,2024-09-17
77,24,true,сентябрь,4,4,2024-09-17
78,15,true,сентябрь,5,4,2024-09-17
79,52,true,сентябрь,1,5,2024-09-17
80,25,true,сентябрь,2,5,2024-09-17
81,25,true,сентябрь,3,5,2024-09-17
82,19,false,сентябрь,4,5,2024-09-17
83,20,true,сентябрь,5,5,2024-09-17
84,5,true,сентябрь,1,6,2024-09-17
85,22,true,сентябрь,2,6,2024-09-17
86,55,true,сентябрь,3,6,2024-09-17
87,24,true,сентябрь,4,6,2024-09-17
88,4,false,сентябрь,5,6,2024-09-17
89,33,true,сентябрь,6,7,2024-09-17
90,12,true,сентябрь,7,7,2024-09-17
91,1,false,сентябрь,8,7,2024-09-17
92,3,true,сентябрь,9,7,2024-09-17
93,15,true,сентябрь,6,8,2024-09-17
94,42,false,сентябрь,7,8,2024-09-17
95,17,false,сентябрь,8,8,2024-09-17
96,54,true,сентябрь,9,8,2024-09-17
97,19,true,сентябрь,6,9,2024-09-17
98,33,true,сентябрь,7,9,2024-09-17
99,4,true,сентябрь,8,9,2024-09-17
100,22,false,сентябрь,9,9,2024-09-17
102,15,true,октябрь,7,10,2024-10-17
107,13,false,октябрь,3,4,2024-10-17
108,24,true,октябрь,4,4,2024-10-17
110,52,true,октябрь,1,5,2024-10-17
111,25,true,октябрь,2,5,2024-10-17
114,20,true,октябрь,5,5,2024-10-17
116,22,true,октябрь,2,6,2024-10-17
117,55,true,октябрь,3,6,2024-10-17
118,24,true,октябрь,4,6,2024-10-17
119,4,false,октябрь,5,6,2024-10-17
120,33,true,октябрь,6,7,2024-10-17
121,12,true,октябрь,7,7,2024-10-17
122,1,false,октябрь,8,7,2024-10-17
112,17,false,октябрь,3,5,2024-10-17
113,19,true,октябрь,4,5,2024-10-17
115,5,false,октябрь,1,6,2024-10-17
123,3,false,октябрь,9,7,2024-10-17
124,15,false,октябрь,6,8,2024-10-17
125,42,true,октябрь,7,8,2024-10-17
101,15,false,октябрь,6,10,2024-10-17
103,17,false,октябрь,8,10,2024-10-17
126,17,false,октябрь,8,8,2024-10-17
127,54,true,октябрь,9,8,2024-10-17
129,33,true,октябрь,7,9,2024-10-17
109,15,false,октябрь,5,4,2024-10-17
128,19,false,октябрь,6,9,2024-10-17
130,4,false,октябрь,8,9,2024-10-17
131,30,true,октябрь,9,9,2024-10-17
104,35,true,октябрь,9,10,2024-10-17
